scope,label,filter_id,status,baseline_rows,matched_rows,avoided_deep_losses,avoided_near_total_losses,lost_winners,blocked_sum_delta_if_skipped_pct,kept_avg_pnl_pct,kept_median_pnl_pct,kept_negative_rate_pct,kept_loss_le_90_pct
portfolio,frozen_short_term,short_term_fill_degradation_ge_15,historical_pass_candidate,112,9,5,3,2,287.4239,61.0077,53.3263,21.3592,5
portfolio,all_lanes_fill_ge_15,all_lanes_fill_degradation_ge_15,winner_damage_too_high,112,19,6,4,10,-469.2974,59.4309,51.2052,21.5054,4
chronological_holdout,train,short_term_fill_degradation_ge_15,winner_damage_too_high,70,3,1,0,1,84.8013,86.0671,75.3005,5.9701,1
chronological_holdout,holdout,short_term_fill_degradation_ge_15,historical_pass_candidate,42,6,4,3,1,202.6226,14.3695,2.7984,50.0,4
lane,short_term,short_term_fill_degradation_ge_15,historical_pass_candidate,43,9,5,3,2,287.4239,51.9047,40.5486,29.4118,3
lane,swing,swing_fill_degradation_ge_15,no_deep_loss_reduction,42,6,0,0,5,-616.9018,46.4462,46.2211,19.4444,0
lane,bullish_momentum,bullish_momentum_fill_degradation_ge_15,winner_damage_too_high,22,4,1,1,3,-139.8195,119.8458,140.0303,5.5556,1
lane,bullish_pullback_observation,bullish_pullback_observation_fill_degradation_ge_15,no_coverage,5,0,0,0,0,-0.0,-13.3945,20.8675,40.0,0
month,2026-04,short_term_fill_degradation_ge_15,winner_damage_too_high,70,3,1,0,1,84.8013,86.0671,75.3005,5.9701,1
month,2026-05,short_term_fill_degradation_ge_15,historical_pass_candidate,42,6,4,3,1,202.6226,14.3695,2.7984,50.0,4
