id,status,ticker,direction,contract_symbol,expiry,filled_at,closed_at,playbook,record_class,backfill_audit_id,proof_class,ticker_bucket,pnl_pct,pnl_field,entry_execution_price,entry_execution_basis,exit_execution_price,exit_execution_basis,last_recommendation,last_recommendation_reason,review_count,first_negative_reviewed_at,has_executable_sell_review,best_executable_net_pnl_pct,scan_date,ev_pct,direction_score,quality_score,tech_score,ret5,rsi14,spy_ret5,debit_pct_of_width,root_cause_hint
26,closed,JPM,call,JPM260522C00305000,2026-05-22,2026-04-15T11:00:26.233454-06:00,2026-05-10T17:29:09.587775-06:00,legacy_unlabeled,legacy_or_unknown_tracked,,,,-44.7796,net_pnl_pct,6.5614,manual_fill,3.634,spread_bid_ask,SELL,"Time exit reached after 25 calendar day(s), versus a 20-day limit.",3017,2026-04-15T17:42:17.151285-06:00,True,45.3806,,32.3,80.6,97.1,66.9,4.61,54.4,3.04,,
36,closed,DIA,call,DIA260515C00500000,2026-05-15,2026-04-17T11:00:05.066197-06:00,2026-05-10T17:29:07.195109-06:00,legacy_unlabeled,legacy_or_unknown_tracked,,,,-73.0805,net_pnl_pct,5.9613,manual_fill,1.61,spread_bid_ask,SELL,"Time exit reached after 23 calendar day(s), versus a 14-day limit.",2403,2026-04-17T11:00:25.609669-06:00,True,-22.0053,,38.3,73.7,64.0,75.2,0.77,59.8,4.79,29.8,
39,closed,DIA,call,DIA260515C00495000,2026-05-15,2026-04-20T11:00:08.622712-06:00,2026-05-10T17:29:06.338694-06:00,legacy_unlabeled,legacy_or_unknown_tracked,,,,-42.9751,net_pnl_pct,6.5066,manual_fill,3.7215,spread_bid_ask,SELL,"Time exit reached after 20 calendar day(s), versus a 14-day limit.",2400,2026-04-20T11:00:33.681601-06:00,True,3.0492,,45.9,77.8,62.0,69.6,3.17,65.4,3.13,32.5,
42,closed,JPM,call,JPM260515C00315000,2026-05-15,2026-04-21T11:00:12.465860-06:00,2026-05-10T17:29:05.015492-06:00,legacy_unlabeled,legacy_or_unknown_tracked,,,,-91.8196,net_pnl_pct,5.2003,manual_fill,0.427,spread_bid_ask,SELL,"Time exit reached after 19 calendar day(s), versus a 14-day limit.",2399,2026-04-21T11:00:35.230613-06:00,True,-3.5248,,22.9,76.3,96.6,90.7,1.06,64.3,1.64,34.7,
44,closed,JPM,call,JPM260522C00315000,2026-05-22,2026-04-22T11:00:02.703056-06:00,2026-05-10T17:29:04.629719-06:00,legacy_unlabeled,legacy_or_unknown_tracked,,,,-80.098,net_pnl_pct,4.4298,live_comparable_spread_mid,0.8855,spread_bid_ask,SELL,"Time exit reached after 18 calendar day(s), versus a 14-day limit.",2372,2026-04-23T08:10:10.340082-06:00,True,12.5333,,5.2,67.1,92.4,79.8,0.6,62.7,1.28,29.5,
52,closed,MSFT,call,MSFT260529C00420000,2026-05-29,2026-04-24T08:10:00-06:00,2026-05-13T13:55:00-06:00,bullish_pullback_observation,main_zero_pick_research_backfill,main_lane_zero_pick_current_algo_v1,ineligible,research-only/data-needed,-76.7197,net_pnl_pct,15.18,spread_ask_bid,3.54,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-24,54.49,94.2,64.1,53.7563,-1.0731,81.2437,0.9677,37.95,bullish_pullback_ticker_bucket_not_keep
53,closed,COIN,call,COIN260529C00220000,2026-05-29,2026-04-24T08:10:00-06:00,2026-05-13T13:55:00-06:00,bullish_pullback_observation,main_zero_pick_research_backfill,main_lane_zero_pick_current_algo_v1,ineligible,remove,-61.1832,net_pnl_pct,7.445,spread_ask_bid,2.9,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-24,52.97,92.6,79.0,78.322,-0.9483,56.678,0.9677,37.225,bullish_pullback_ticker_bucket_not_keep
56,closed,DIA,call,DIA260529C00494000,2026-05-29,2026-04-27T08:10:00-06:00,2026-05-15T13:55:00-06:00,bullish_pullback_observation,main_zero_pick_research_backfill,main_lane_zero_pick_current_algo_v1,ineligible,move-to-different-lane,-22.8591,net_pnl_pct,7.9205,spread_ask_bid,6.13,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-27,58.24,71.2,60.7,65.5566,-0.4067,69.4434,0.5351,37.7167,bullish_pullback_ticker_bucket_not_keep
57,closed,JPM,call,JPM260605C00320000,2026-06-05,2026-04-28T08:10:00-06:00,2026-05-15T13:55:00-06:00,bullish_pullback_observation,main_zero_pick_research_backfill,main_lane_zero_pick_current_algo_v1,ineligible,remove,-97.4635,net_pnl_pct,7.4645,spread_ask_bid,0.19,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -97.5%.,0,,False,,2026-04-28,54.68,94.4,73.1,85.64,-1.6909,56.86,0.9101,37.3225,bullish_pullback_ticker_bucket_not_keep
58,closed,MSTR,call,MSTR260529C00170000,2026-05-29,2026-04-28T08:10:00-06:00,2026-05-15T13:55:00-06:00,bullish_pullback_observation,main_zero_pick_research_backfill,main_lane_zero_pick_current_algo_v1,ineligible,research-only/data-needed,-14.0716,net_pnl_pct,7.2475,spread_ask_bid,6.25,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-28,52.875,92.5,68.0,90.7358,-0.9426,64.2642,0.9101,48.3167,bullish_pullback_ticker_bucket_not_keep
