symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
AAPL,2024-08-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019324000080/aapl-20240801.htm,2024-08-01T20:30:26Z,2024-08-01T20:30:26Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2024-10-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019324000120/aapl-20241031.htm,2024-10-31T20:30:25Z,2024-10-31T20:30:25Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2025-01-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019325000007/aapl-20250130.htm,2025-01-30T21:30:23Z,2025-01-30T21:30:23Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2025-05-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/aapl-20250501.htm,2025-05-01T20:30:21Z,2025-05-01T20:30:21Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2025-07-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/aapl-20250731.htm,2025-07-31T20:30:25Z,2025-07-31T20:30:25Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2025-10-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019325000077/aapl-20251030.htm,2025-10-30T20:30:35Z,2025-10-30T20:30:35Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2026-01-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019326000005/aapl-20260129.htm,2026-01-29T21:30:33Z,2026-01-29T21:30:33Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
AAPL,2026-04-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,2026-04-30T20:30:41Z,2026-04-30T20:30:41Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2024-08-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316524000034/cop-20240801.htm,2024-08-01T12:18:42Z,2024-08-01T12:18:42Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2024-10-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316524000049/cop-20241031.htm,2024-10-31T12:04:29Z,2024-10-31T12:04:29Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2025-02-06,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316525000006/cop-20250206.htm,2025-02-06T13:07:47Z,2025-02-06T13:07:47Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2025-05-08,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316525000023/cop-20250502.htm,2025-05-08T12:01:15Z,2025-05-08T12:01:15Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2025-08-07,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316525000040/cop-20250807.htm,2025-08-07T11:30:23Z,2025-08-07T11:30:23Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2025-11-06,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316525000056/cop-20251106.htm,2025-11-06T12:11:00Z,2025-11-06T12:11:00Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2026-02-05,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000005/cop-20260205.htm,2026-02-05T12:43:54Z,2026-02-05T12:43:54Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
COP,2026-04-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000016/cop-20260430.htm,2026-04-30T11:31:38Z,2026-04-30T11:31:38Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2024-08-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341024000035/cvx-20240802.htm,2024-08-02T10:16:14Z,2024-08-02T10:16:14Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2024-11-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341024000055/cvx-20241101.htm,2024-11-01T10:16:39Z,2024-11-01T10:16:39Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2025-01-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341025000004/cvx-20250131.htm,2025-01-31T11:16:49Z,2025-01-31T11:16:49Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2025-05-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341025000016/cvx-20250502.htm,2025-05-02T10:26:38Z,2025-05-02T10:26:38Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2025-08-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341025000058/cvx-20250801.htm,2025-08-01T10:17:27Z,2025-08-01T10:17:27Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2025-10-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341025000103/cvx-20251031.htm,2025-10-31T10:16:33Z,2025-10-31T10:16:33Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2026-01-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341026000019/cvx-20260130.htm,2026-01-30T11:16:19Z,2026-01-30T11:16:19Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2026-04-09,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341026000108/cvx-20260409.htm,2026-04-09T11:00:12Z,2026-04-09T11:00:12Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
CVX,2026-05-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341026000110/cvx-20260501.htm,2026-05-01T10:16:43Z,2026-05-01T10:16:43Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
GOOGL,2024-07-23,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000076/goog-20240723.htm,2024-07-23T20:01:54Z,2024-07-23T20:01:54Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
GOOGL,2024-10-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000115/goog-20241029.htm,2024-10-29T20:01:46Z,2024-10-29T20:01:46Z,sec_8-k_item_2_02,2024-06-01,2026-07-15
