symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
AAPL,2017-11-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019317000067/a8-kq420179302017.htm,2017-11-02T20:30:16Z,2017-11-02T20:30:16Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2018-02-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000005/a8-kq1201812302017.htm,2018-02-01T21:30:17Z,2018-02-01T21:30:17Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2018-05-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000067/a8-kq220183312018.htm,2018-05-01T20:30:17Z,2018-05-01T20:30:17Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2018-07-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000098/a8-kq320186302018.htm,2018-07-31T20:30:20Z,2018-07-31T20:30:20Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2018-11-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000142/a8-kq420189292018.htm,2018-11-01T20:30:21Z,2018-11-01T20:30:21Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2019-01-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019319000002/a8-kjanuary2019122019.htm,2019-01-02T21:30:03Z,2019-01-02T21:30:03Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2019-01-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019319000007/a8-kq1201912292018.htm,2019-01-29T21:30:18Z,2019-01-29T21:30:18Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2019-04-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019319000063/a8-kq220193302019.htm,2019-04-30T20:30:16Z,2019-04-30T20:30:16Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2019-07-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019319000073/a8-kq320196292019.htm,2019-07-30T20:30:36Z,2019-07-30T20:30:36Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2019-10-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019319000117/a8-kq420199282019.htm,2019-10-30T20:30:40Z,2019-10-30T20:30:40Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2020-01-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019320000008/a8-kq1202012282019.htm,2020-01-28T21:30:40Z,2020-01-28T21:30:40Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2020-04-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019320000050/a8-kq220203282020.htm,2020-04-30T20:30:41Z,2020-04-30T20:30:41Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2020-07-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/aapl-20200730.htm,2020-07-30T22:55:04Z,2020-07-30T22:55:04Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2020-10-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019320000094/aapl-20201029.htm,2020-10-29T20:30:32Z,2020-10-29T20:30:32Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2021-01-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019321000009/aapl-20210127.htm,2021-01-27T21:30:35Z,2021-01-27T21:30:35Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2021-04-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019321000055/aapl-20210428.htm,2021-04-28T20:30:33Z,2021-04-28T20:30:33Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2021-07-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019321000063/aapl-20210727.htm,2021-07-27T20:35:44Z,2021-07-27T20:35:44Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2021-10-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/aapl-20211028.htm,2021-10-28T20:30:23Z,2021-10-28T20:30:23Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
AAPL,2022-01-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/aapl-20220127.htm,2022-01-27T21:30:36Z,2022-01-27T21:30:36Z,sec_8-k_item_2_02,2017-10-01,2022-03-31
