symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
AAPL,2021-10-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/aapl-20211028.htm,2021-10-28T20:30:23Z,2021-10-28T20:30:23Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2022-01-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/aapl-20220127.htm,2022-01-27T21:30:36Z,2022-01-27T21:30:36Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2022-04-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019322000058/aapl-20220428.htm,2022-04-28T20:32:12Z,2022-04-28T20:32:12Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2022-07-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019322000069/aapl-20220728.htm,2022-07-28T20:31:44Z,2022-07-28T20:31:44Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2022-10-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019322000107/aapl-20221027.htm,2022-10-27T20:30:22Z,2022-10-27T20:30:22Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2023-02-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019323000005/aapl-20230202.htm,2023-02-02T21:30:33Z,2023-02-02T21:30:33Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2023-05-04,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019323000063/aapl-20230504.htm,2023-05-04T20:30:43Z,2023-05-04T20:30:43Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2023-08-03,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019323000075/aapl-20230803.htm,2023-08-03T20:30:21Z,2023-08-03T20:30:21Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2023-11-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019323000104/aapl-20231102.htm,2023-11-02T20:30:32Z,2023-11-02T20:30:32Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
AAPL,2024-02-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/320193/000032019324000005/aapl-20240201.htm,2024-02-01T21:30:30Z,2024-02-01T21:30:30Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
