symbol,bar_date,open,high,low,close,adjustment_policy,volume,vendor,source,source_event_date,published_at_utc,known_at_utc,fetched_at_utc,adjustment_mode,corporate_action_basis,source_url_or_file_name,provenance_id,source_quality
SPY,2024-03-01,508.980000,513.290000,508.560000,512.850000,raw_unadjusted_alpaca_sip_daily_bar,76844844,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-01,2024-03-01T21:15:00Z,2024-03-01T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-01,trusted
SPY,2024-03-04,512.030000,514.200000,512.000000,512.300000,raw_unadjusted_alpaca_sip_daily_bar,49799257,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-04,2024-03-04T21:15:00Z,2024-03-04T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-04,trusted
SPY,2024-03-05,510.240000,510.700000,504.910000,507.180000,raw_unadjusted_alpaca_sip_daily_bar,73320623,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-05,2024-03-05T21:15:00Z,2024-03-05T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-05,trusted
SPY,2024-03-06,510.550000,512.069000,508.420000,509.750000,raw_unadjusted_alpaca_sip_daily_bar,68392367,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-06,2024-03-06T21:15:00Z,2024-03-06T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-06,trusted
SPY,2024-03-07,513.140000,515.890000,509.805300,514.810000,raw_unadjusted_alpaca_sip_daily_bar,58652085,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-07,2024-03-07T21:15:00Z,2024-03-07T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-07,trusted
SPY,2024-03-08,515.460000,518.220100,511.130000,511.720000,raw_unadjusted_alpaca_sip_daily_bar,86532535,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-08,2024-03-08T21:15:00Z,2024-03-08T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-08,trusted
SPY,2024-03-11,510.480000,511.880000,508.500000,511.280000,raw_unadjusted_alpaca_sip_daily_bar,62557183,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-11,2024-03-11T21:15:00Z,2024-03-11T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-11,trusted
SPY,2024-03-12,513.450000,517.380000,510.860000,516.780000,raw_unadjusted_alpaca_sip_daily_bar,73694439,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-12,2024-03-12T21:15:00Z,2024-03-12T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-12,trusted
SPY,2024-03-13,517.110000,517.290000,514.490000,515.970000,raw_unadjusted_alpaca_sip_daily_bar,55104088,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-13,2024-03-13T21:15:00Z,2024-03-13T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-13,trusted
SPY,2024-03-14,516.970000,517.125000,511.820000,514.950000,raw_unadjusted_alpaca_sip_daily_bar,110171820,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-14,2024-03-14T21:15:00Z,2024-03-14T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-14,trusted
SPY,2024-03-15,510.210000,511.700000,508.122000,509.830000,raw_unadjusted_alpaca_sip_daily_bar,107646297,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-15,2024-03-15T21:15:00Z,2024-03-15T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-15,trusted
SPY,2024-03-18,514.000000,515.480000,512.440000,512.860000,raw_unadjusted_alpaca_sip_daily_bar,88893331,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-18,2024-03-18T21:15:00Z,2024-03-18T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-18,trusted
SPY,2024-03-19,512.150000,515.995000,511.120000,515.710000,raw_unadjusted_alpaca_sip_daily_bar,60755263,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-19,2024-03-19T21:15:00Z,2024-03-19T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-19,trusted
SPY,2024-03-20,515.770000,520.620000,515.080000,520.480000,raw_unadjusted_alpaca_sip_daily_bar,69594574,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-20,2024-03-20T21:15:00Z,2024-03-20T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-20,trusted
SPY,2024-03-21,523.390000,524.110000,521.910000,522.200000,raw_unadjusted_alpaca_sip_daily_bar,60256112,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-21,2024-03-21T21:15:00Z,2024-03-21T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-21,trusted
SPY,2024-03-22,522.110000,522.605000,520.970000,521.210000,raw_unadjusted_alpaca_sip_daily_bar,79070842,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-22,2024-03-22T21:15:00Z,2024-03-22T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-22,trusted
SPY,2024-03-25,519.800000,520.950000,519.610000,519.770000,raw_unadjusted_alpaca_sip_daily_bar,48512108,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-25,2024-03-25T21:15:00Z,2024-03-25T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-25,trusted
SPY,2024-03-26,521.230000,521.580000,518.400000,518.810000,raw_unadjusted_alpaca_sip_daily_bar,65463744,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-03-26,2024-03-26T21:15:00Z,2024-03-26T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2024-03-26,trusted
